bfid,location_cookie,size,crc,pnfs_path
CDMS154706040300003,0000_000000000_0000001,3310025131,1298289360,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/C49B3D24-1A07-E911-8783-7CD30AD09D48.root
CDMS154706042000004,0000_000000000_0000002,3309924089,1759509268,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/403A0CD7-DE05-E911-9ED4-0242AC130002.root
CDMS154706043800000,0000_000000000_0000003,3306241187,924085467,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/B22C97AB-DE05-E911-A351-0242AC130002.root
CDMS154706045500000,0000_000000000_0000004,3311567467,2682267998,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/32A80B7A-EF06-E911-B124-0242AC130002.root
CDMS154706090400000,0000_000000000_0000005,3267517654,2590728379,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/14C0A713-DF05-E911-842E-0242AC130002.root
CDMS154706093300000,0000_000000000_0000006,3276924186,871438172,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/2EB815F9-F006-E911-9F56-0025905B857E.root
CDMS154706095000002,0000_000000000_0000007,3293589579,2427985140,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/56962B66-0807-E911-8B9E-0CC47A7C34A0.root
CDMS154706097000000,0000_000000000_0000008,3297244866,825744189,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/4444DD6C-1307-E911-B7AE-0025905A60FE.root
CDMS154706099100002,0000_000000000_0000009,3312755588,4184732970,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/78FB0963-CD07-E911-9AF7-801844E55F38.root
CDMS154706106000001,0000_000000000_0000010,3302070225,3946566209,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/44E0DFB7-1A07-E911-AC0F-B496910A0544.root
CDMS154706112300000,0000_000000000_0000011,3281861549,1418384907,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/F2ED86ED-F506-E911-A62B-0242AC130002.root
CDMS154706114200000,0000_000000000_0000012,3304158619,3686260186,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/AC2931B5-1A07-E911-8C7B-A0369F7FC0BC.root
CDMS154723787200000,0000_000000000_0000013,3745158454,3683782839,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00001/58925BC1-1E08-E911-9B02-001517FAAB30.root
CDMS154723789200001,0000_000000000_0000014,4146880878,3415343634,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/1E131A20-6107-E911-B701-A0369FC5B844.root
