bfid,location_cookie,size,crc,pnfs_path
CDMS154706061800000,0000_000000000_0000001,3275392540,1374163036,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/500B8CFD-EC06-E911-88DC-0242AC130002.root
CDMS154706064700000,0000_000000000_0000002,3308951755,81344408,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/3CEB376C-1A07-E911-9E6C-7CD30AD08EDE.root
CDMS154706066400002,0000_000000000_0000003,3312489806,4019101919,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/0443A615-DF05-E911-9D61-0242AC130002.root
CDMS154706068100001,0000_000000000_0000004,3303890928,1972096359,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/AA207C94-DE05-E911-ACBA-0242AC130002.root
CDMS154706070100000,0000_000000000_0000005,3295583948,1726103668,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/F0FA7480-2307-E911-BFEF-0242AC130002.root
CDMS154706072300000,0000_000000000_0000006,3312784200,1999359174,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/EA85202C-DF05-E911-AF5E-0242AC130002.root
CDMS154706074100001,0000_000000000_0000007,3292384113,2119078650,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/4AFA20FF-F307-E911-BE3D-0CC47A78A33E.root
CDMS154706076400000,0000_000000000_0000008,3298453676,2015609764,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/1C0A995B-4307-E911-81D3-1866DAEA8394.root
CDMS154706078500000,0000_000000000_0000009,3304736502,724762004,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/4EA2243D-1B07-E911-B21E-0025905B8604.root
CDMS154706080500000,0000_000000000_0000010,3301948669,1237079706,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/0A30E034-0A07-E911-BA91-0CC47A4C8E56.root
CDMS154706082900000,0000_000000000_0000011,3320193594,1527015383,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/BEF640C4-F406-E911-ACD1-0025905A612C.root
CDMS154706085900002,0000_000000000_0000012,3281698391,4166890576,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/F290503E-4707-E911-8A33-801844DEE0E0.root
CDMS154706088100001,0000_000000000_0000013,3340956272,1287250372,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/405A5D67-F506-E911-A2D5-0CC47A7C3572.root
CDMS154706093300002,0000_000000000_0000014,3241302916,4042722973,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/9A15A887-DF05-E911-9A42-0242AC130002.root
CDMS154706097300001,0000_000000000_0000015,3271388349,3279817625,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/8E5E9886-0707-E911-9121-0CC47A78A414.root
CDMS154706099600000,0000_000000000_0000016,3306165337,3271008779,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/0A2BDE24-2107-E911-8F67-0025905B8560.root
CDMS154706101500001,0000_000000000_0000017,3274345184,678173142,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/383A7611-2307-E911-B8C2-008CFA1CB8A8.root
CDMS154706103600000,0000_000000000_0000018,3293697750,12317543,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/50C849F4-F306-E911-818F-141877410B85.root
CDMS154706105300000,0000_000000000_0000019,3274242583,557996257,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/CAA5DD76-EF06-E911-BA1F-0242AC130002.root
CDMS154723795700003,0000_000000000_0000020,3987863175,1583213928,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/DEB63E7E-AD06-E911-9CF6-001E67DDC0FB.root
CDMS154723893700000,0000_000000000_0000021,3227484783,2951425363,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/522113B1-1509-E911-8552-509A4C85408C.root
CDMS154723895500002,0000_000000000_0000022,3730224202,2205281590,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280001/827D4C6E-B608-E911-B8F3-0CC47A745282.root
CDMS154723897400000,0000_000000000_0000023,3821074803,1696879779,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280001/6839AA58-DB08-E911-B510-003048FFD7AA.root
CDMS154723899300002,0000_000000000_0000024,3821747872,1818623153,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00001/78856040-E207-E911-99A9-0242AC130002.root
CDMS154723900700005,0000_000000000_0000025,2511710268,2598330438,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/7428C9F3-9A07-E911-B633-0242AC130002.root
CDMS154723902400000,0000_000000000_0000026,3136354108,2175632657,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/462CA918-1607-E911-AC0D-0242AC130002.root
CDMS154723904500002,0000_000000000_0000027,4293568615,141135575,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/E2B4E295-A807-E911-868C-0CC47A4C8E5E.root
CDMS154724317300000,0000_000000000_0000028,4242875719,3716097907,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10001/728F7BE7-8A07-E911-9D01-EC0D9A0B3290.root
CDMS154724896400000,0000_000000000_0000029,3785650163,1500246464,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/02A8D578-6F07-E911-AAAB-0CC47A4D7630.root
CDMS154724905200000,0000_000000000_0000030,2717985256,1264414351,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/C6B535BC-9507-E911-8927-549F35AD8BBC.root
CDMS154724909200000,0000_000000000_0000031,3824180711,1189070070,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/5E248A0A-2808-E911-92CA-0CC47A4C8F26.root
CDMS154724911600000,0000_000000000_0000032,3791466693,1591344127,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/629D2D5F-7B08-E911-A260-0CC47A745294.root
CDMS154724916900001,0000_000000000_0000033,4150080402,3508466012,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/365C25E5-5207-E911-B1E2-008CFA1C6458.root
CDMS154724922600000,0000_000000000_0000034,3970155465,600866526,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/969A4F62-8A07-E911-85FE-008CFA1CB8A8.root
CDMS154724924700000,0000_000000000_0000035,3812562964,1493447341,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/E837CC73-CB07-E911-A36C-0CC47A4D75F6.root
CDMS154724937400000,0000_000000000_0000036,3803265970,2573152142,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/78670603-2408-E911-ADCA-0025905B8582.root
CDMS154724940900009,0000_000000000_0000037,3200013652,2910850342,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90001/D25A834F-C608-E911-A279-0025905A609A.root
CDMS154724944300001,0000_000000000_0000038,2676646595,159596302,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90001/94E6DDA0-DB08-E911-862A-0025905B85EC.root
CDMS154724951200001,0000_000000000_0000039,3231837088,1121325680,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/B20A7783-6F07-E911-B530-0025905B85BC.root
CDMS154724960200000,0000_000000000_0000040,3744525383,4263337595,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/120879C6-8607-E911-AB90-0025905B85AE.root
CDMS154724965900005,0000_000000000_0000041,3775502548,1511457473,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90001/508E55E5-C008-E911-8C46-0CC47A7C3628.root
CDMS154724969800000,0000_000000000_0000042,2700471955,1788373866,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/00D05495-C107-E911-918E-0CC47A7C3420.root
CDMS154724984000000,0000_000000000_0000043,4282164356,4039211414,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/2215757F-2208-E911-A426-0025905A6064.root
CDMS154724985600000,0000_000000000_0000044,2628139625,4195670189,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/908266EE-D707-E911-87B4-A0369F7FE970.root
CDMS154725010500000,0000_000000000_0000045,3796109106,1640906866,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/9E6BDA5B-4A08-E911-8E30-0CC47A7C356A.root
CDMS154725062900000,0000_000000000_0000046,4276770468,1187254789,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90001/0AD25A61-CE08-E911-AEF9-0CC47A4C8EE2.root
CDMS154725067100000,0000_000000000_0000047,4184070203,2052494239,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/BE250380-1F07-E911-957F-008CFA14FA8C.root
CDMS154725071300008,0000_000000000_0000048,4208394753,1864597827,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/164709D0-2707-E911-AF29-008CFA1980B8.root
CDMS154725073300002,0000_000000000_0000049,3225186868,1981858076,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280001/66F9F514-DE08-E911-A29E-1866DAEECFD0.root
CDMS154725076600000,0000_000000000_0000050,3796482120,3373070645,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/668DD52C-0D08-E911-8E48-1866DAEA79D4.root
CDMS154725090900000,0000_000000000_0000051,3758508355,2138267071,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/12195A02-C608-E911-BA3E-A0369FC5EEB0.root
CDMS154725094100002,0000_000000000_0000052,3814444029,3408651465,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/807A747D-8E08-E911-B942-008CFA197B44.root
CDMS154725118000000,0000_000000000_0000053,3215491961,1184418075,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/26DEB83C-9F08-E911-86A4-A0369FC5DF94.root
CDMS154725127800003,0000_000000000_0000054,2189782485,392966441,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/54C83B00-5F08-E911-83BA-1866DAEB4284.root
CDMS154725141400003,0000_000000000_0000055,3805429675,258507477,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80001/4678E99D-DF08-E911-8837-B4969109FE54.root
CDMS154725143700002,0000_000000000_0000056,4290066315,1522162623,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/42D66E0F-BC08-E911-AE47-D4AE526B7681.root
